t_seconds,I_raw,I_smoothed
0.0,217.5016611295681,216.83419968214844
0.5,213.4116321653023,213.95609068089271
1.0,210.46314315324614,211.09051342180612
1.5,208.38120593133826,208.2462819782978
2.0,205.45089361073053,205.4322104237769
2.5,202.42254485355838,202.6571128316525
3.0,200.41513512913357,199.92980327533382
3.5,197.49069177967084,197.25909582823064
4.0,195.40346662659238,194.74059703179336
4.5,191.99875026664566,192.201861607096
5.0,188.99674201518513,189.71452640511887
5.5,186.97266071607083,187.37471631665485
6.0,185.0290072834758,185.12931486918774
6.5,183.05512536738837,182.93528053260957
7.0,181.05204296289637,180.88700678568662
7.5,179.06849232900024,178.82233816711764
8.0,177.05866169034587,176.93119995896973
8.5,175.06853780663258,175.05663838496477
9.0,173.20552297227903,173.07672382013695
9.5,171.14735092510765,171.02281934024978
10.0,169.10790215034376,169.18314854798726
10.5,167.13204940263827,167.4398081284436
11.0,166.0916045006033,165.80718369847838
11.5,164.2159185894775,164.30896500309683
12.0,162.1673470205611,162.9344073137586
12.5,161.21703204115397,161.67138435590627
13.0,161.50183863117712,160.45491958520984
13.5,159.454350352978,159.3773254689658
14.0,158.45903061313857,158.2269179350526
14.5,157.50098064242974,157.18310243558017
15.0,156.41776256575977,156.43049973298866
15.5,155.39033588202585,155.74515232335867
16.0,154.4309044008046,155.0740324923172
16.5,154.45104276221113,154.5084750424851
17.0,153.41303672240926,154.22251918054255
17.5,154.70715050154087,153.97845188415806
18.0,154.71401504187722,153.847720856301
18.5,153.63905504306166,153.7129899662338
19.0,153.66090651157663,153.6911814028933
19.5,153.66553562526144,153.72971253036602
20.0,153.65517411214623,153.77889892062845
20.5,153.64773720277574,153.88770121593743
21.0,153.7066530520112,153.91763473262034
21.5,153.6420575605457,154.1906252450274
22.0,154.91124139369546,154.45689965473332
22.5,154.9096905240651,154.60158143120273
23.0,154.91279279864142,154.68731691008085
23.5,154.829429164209,154.78674104348374
24.0,154.92013982362602,154.7512018817368
24.5,154.94357084228542,154.68210066865646
25.0,153.80915421806608,154.451006487247
25.5,153.95688361535227,154.1229357064677
26.0,153.8557062349234,153.78396075612483
26.5,153.8597998577213,153.41976944403092
27.0,152.80056407038828,153.01881871829346
27.5,152.91467512299258,152.58584381981288
28.0,151.79270021801932,152.12557998949012
28.5,151.77216914790282,151.64276246822612
29.0,150.87321980404016,151.14212649692186
29.5,150.7996642633261,150.62840731647827
